IDs,Names,Artists,Energies,Valences,Danceabilities,Loudnesses,Speechinesses
5iehR5VxXMZpQ5MAmlY68f,Tropicana (Morena Tropicana),Alceu Valença,0.814,0.782,0.64,-6.701,0.137
4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,Elvis Presley,0.582,0.915,0.647,-9.538,0.0755
0lZ0EPwP2owTo5FVtisY5D,Aneurysm - 1992/Live at Reading,Nirvana,0.979,0.177,0.216,-7.256,0.0982
03zbAxVXEwpArbbVWmdC4v,Bella Ciao,Motivés,0.775,0.934,0.749,-6.54,0.121
6oZYLz0vZy8HhqwioRYtTp,Territorial Pissings,Nirvana,0.979,0.108,0.285,-4.428,0.175
3UkTSSsVaOUKEIJBiwvs92,Ligia,Anna,0.55,0.447,0.786,-10.015,0.179
0bTLGlCqwZXwJGWGE2Dywg,Drain You,Nirvana,0.929,0.198,0.325,-5.625,0.0695
0rAX31FT5w3ZQbQMUSkxy8,Lança Perfume,Rita Lee,0.528,0.962,0.843,-12.88,0.0473
7EAsdH2Jd9bbicMltgl9ZD,Desafinado,Stan Getz,0.171,0.538,0.491,-17.259,0.0439
06eTOJlWZlR8mcLgFpUT0D,War Outside (feat. Lex Amor),Kojey Radical,0.563,0.599,0.789,-4.979,0.248
3BmGfswCrv2p1It4oCdtU6,Controllah (feat. MC Bin Laden),Gorillaz,0.895,0.715,0.777,-3.24,0.0403
1o5jmMhhk2UZ9YP1X5fXfj,Lounge Act,Nirvana,0.964,0.459,0.341,-5.327,0.107
6R0GRYk2vs2XuBVemYK5YZ,Ultimate,Denzel Curry,0.826,0.75,0.493,-3.106,0.311
1brgbYLv2fQFRh6vqWgPLH,Carta Ao Tom 74,Vinícius de Moraes,0.369,0.517,0.621,-11.972,0.245
3vNwY4KaBRnJP4G6UBJPZH,Chega De Saudade,Antônio Carlos Jobim,0.405,0.62,0.484,-15.722,0.043
4yBiZFLXn0n9AUJ5sWO88k,Wonderwall,Oasis,0.845,0.686,0.402,-6.459,0.0319
